istc_id,author,title,date,ia_found,ht_found,gb_found,any_found
ih00136500,Hesiodus,Opera et dies (Tr: Nicolaus de Valle). Add: Nicolaus de Valle: Disticha ad Pium ,1483,False,False,False,False
ip00487000,Petrus Lombardus,"Sententiarum libri IV (Comm: Bonaventura). Add: Johannes Beckenhaub: Tabula, Art",1493,False,False,True,True
ic00269800,,"Casus papales, episcopales et abbatiales",1501,True,False,True,True
it00086500,"Terentius Afer, Publius",Comoediae. Comm: Aelius Donatus. Add: Vita Terentii,,False,False,True,True
ia00906200,"Antonius Nebrissensis, Aelius",Introductiones latinae (cum commento),,False,False,True,True
ia00512500,,"Almanac, 1487, for Nuremberg [Latin]",1486,False,False,True,True
is00419000,"Seneca, Lucius Annaeus","De quattuor virtutibus cardinalibus, sive De formula honestae vitae Add: Epistol",1499,False,False,True,True
ic00914750,,Penitencia beati Cornelii,,False,False,True,True
if00005475,"Faber de Budweis, Wenceslaus","Prognosticon für Leipzig, 1491 [Latin]",,False,False,False,False
ia01082300,"Arquatus, Antonius",Prognosticatio pro anno 1493,1492,False,False,False,False
ic01018000,"Cyrillus, Pseudo-",Speculum sapientiae,,False,False,True,True
ib00042500,Balthasar de Porta,Expositio mysteriorum Missae. Add: Hieronymus de Vallibus: Jesuida (extract),1494,False,False,False,False
ih00499800,"Hubertus, S",Historia cum legenda sancti Huberti episcopi,1489,False,False,False,False
ie00030000,,Elegantiarum viginti praecepta,,True,False,True,True
il00389000,"Lullus, Raymundus",De conceptione B. V. Mariae,1491,False,False,False,False
ir00220000,Rodericus Zamorensis,Speculum vitae humanae,1473,False,False,True,True
ih00199500,Hieronymus,"Vitae sanctorum patrum, sive Vitas patrum",1478,True,False,True,True
ib01150950,,Breviarium Compostellanum (Santiago de Compostela). Commissioned by the Chapter ,1497,False,False,False,False
ih00357270,,Horae: ad usum Romanum (Rome),1475,False,False,True,True
ih00029500,Henricus de Hassia,Secreta sacerdotum (Corr & Ed: Michael Lochmaier),1491,False,False,True,True
ic00624000,"Cicero, Marcus Tullius","Cato maior, sive de senectute",1489,True,False,True,True
is00546000,"Sixtus IV, Pont. Max. (formerly Franciscus, Cardin","Bulla 18 Dec. 1478 ""Etsi quandoque negotiorum magnitudine"". Add: Bulla 23 Jan. 1",1479,False,False,True,True
id00332815,"Donatus, Aelius",Ars minor,1492,True,False,True,True
it00054000,,Taxae poenitentiariae apostolicae,,True,False,True,True
is00727170,,Statuta synodalia,1494,True,False,True,True
is00089000,"Sallustius Crispus, Gaius",De coniuratione Catilinae,1497,True,False,True,True
ia00939700,"Aragazonius, Jacobus",Oratio ad Nicolaum Tronum,1471,False,False,True,True
ip01043155,,Psalterium cum hymnis et canticis,1497,False,False,True,True
ir00203600,"Robertus Castellensis, commissary","Indulgentia, 2 Feb. 1499. For promoting war against the Turks. Plural issue",1499,False,False,False,False
ib01203000,"Bricot, Thomas",Textus abbreviatus in cursum totius physices et metaphysicorum Aristotelis. Add:,1494,False,False,True,True
io00069700,,"Orationes tres contra Turcos. Con: Franciscus Philelphus: Ad Carolum VIII, regem",1497,False,False,False,False
it00565550,"Tygrinus, Nicolaus",Oratio habita Pisis coram Maximiliano Rege,,False,False,False,False
id00183200,,Dicta puerorum super Donatum minorem. Add: Regulae grammaticales. Collatio de bi,,False,False,False,False
ib01158400,,"Breviarium Cracoviense, Gnesnense et Posnaniense (Cracow, Gniezno and Poznań)",1494,False,False,False,False
im00144000,"Mancinellus, Antonius",Spica. Versilogus sive De componendis versibus opusculum,1500,False,False,True,True
ih00484290,"Horneck, Burchardus de",Carmen de ingenio sanitatis,1500,False,False,True,True
